stop_id,stop_name,parent_station,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding,platform_code
de:12073:900340135::1,"Angermünde, Bildungswerk",,Bushalt Schwedter Straße vor An der MTS,53.016956,14.019496,,,
de:12073:900340135::2,"Angermünde, Bildungswerk",,Bushalt Schwedter Straße hinter Mudrowweg,53.016853,14.01948,,,
de:12073:900340136::1,"Angermünde, Blumberger Mühle",,Bushalt Blumenberger Mühle in Richtung Westen,53.03589,13.96741,,,
de:12073:900340137::1,"Angermünde, Breitscheidstr.",,Bushalt Rudolf-Breitscheid-Straße hinter Grundmühlenweg,53.013817,13.993066,,,
de:12073:900340137::2,"Angermünde, Breitscheidstr.",,Bushalt Rudolf-Breitscheid-Straße hinter Triftstraße,53.01385,13.993433,,,
de:12073:900340138::1,"Angermünde, Bruhnschule",,Bushalt Rudolf-Harbig-Straße vor Weg an der Bruhnhalle,53.017757,13.984286,,,
de:12073:900340138::2,"Angermünde, Bruhnschule",,Bushalt Georg-Wolf-Straße vor Rudolf-Harbig-Straße,53.01804,13.98382,,,
de:12073:900340139::1,"Angermünde, Gehegemühle",,Bushalt Gehegemühle in Richtung Westen,53.01172,13.947897,,,
de:12073:900340139::2,"Angermünde, Gehegemühle",,Bushalt Gehegemühle in Richtung Osten,53.011845,13.948079,,,
de:12073:900340140::1,"Angermünde, Herwegh Str.",,Bushalt Herweghstraße in Richtung Westen,53.01435,14.021558,,,
de:12073:900340140::2,"Angermünde, Herwegh Str.",,Bushalt Herweghstraße in Richtung Osten,53.014313,14.021279,,,
de:12073:900340141::1,"Angermünde, Finanzamt",,Bushalt Jahnstraße hinter Wiesenstraße,53.016785,13.990388,,,
de:12073:900340141::2,"Angermünde, Finanzamt",,Bushalt Jahnstraße in Richtung Westen,53.016865,13.990366,,,
de:12073:900340144::1,"Angermünde, Templiner Str.",,Bushalt Templiner Straße hinter Prenzlauer Straße,53.02329,13.996141,,,
de:12073:900340145::1,"Angermünde, Templiner Str. Wendestelle",,Bushalt Templiner Straße Richtung Osten,53.023174,13.9923,,,
de:12073:900340145::2,"Angermünde, Templiner Str. Wendestelle",,Bushalt Templiner Straße Richtung Westen,53.023224,13.9932,,,
de:12073:900340146::1,"Angermünde, Alte Templiner Str.",,Bushalt Templiner Straße vor Prenzlauer Straße,53.023285,13.997564,,,
de:12073:900340148::1,"Angermünde, Am Tanger",,Bushalt Rudolf-Breitscheid-Straße Richtung Südwesten,53.01166,13.974869,,,
de:12073:900340148::2,"Angermünde, Am Tanger",,Bushalt Rudolf-Breitscheid-Straße Richtung Nordosten,53.011642,13.974954,,,
de:12073:900340152::1,"Angermünde, E.-Kamieth-Str.",,Bushalt Pestalozzistraße in Richtung Süden,53.015884,13.981368,,,
de:12073:900340152::2,"Angermünde, E.-Kamieth-Str.",,Bushalt Pestalozzistraße hinter Ernst-Kamieth-Straße,53.016186,13.9814,,,
de:12073:900340153::1,"Frauenhagen (bei Angermünde), Ausbau",,Bushalt Schönemarker Straße Richtung Nordost,53.09065,14.057669,,,
de:12073:900340153::2,"Frauenhagen (bei Angermünde), Ausbau",,Bushalt Schönemarker Straße Richtung Südwest,53.09033,14.05724,,,
de:12073:900340154::1,"Frauenhagen (bei Angermünde), Mitte",,Bushalt Mürower Straße vor Pinnower Straße,53.076813,14.0417,,,
de:12073:900340154::2,"Frauenhagen (bei Angermünde), Mitte",,Bushalt Mürower Straße hinter Neue Dorfstraße,53.076874,14.041687,,,
de:12073:900340155::1,"Frauenhagen (bei Angermünde), Neubau",,Bushalt Schönermarker Straße vor Zum Windrad,53.081345,14.047719,,,
de:12073:900340155::2,"Frauenhagen (bei Angermünde), Neubau",,Bushalt Schönermarker Straße hinter Schmiedestraße,53.0813,14.04757,,,
de:12073:900340156::1,"Frauenhagen (bei Angermünde), Siedlung",,Bushalt Pinnower Straße Richtung Nordwest,53.07191,14.058763,,,
de:12073:900340156::2,"Frauenhagen (bei Angermünde), Siedlung",,Bushalt Pinnower Straße Richtung Südost,53.072037,14.058237,,,
de:12073:900340157::1,"Frauenhagen (bei Angermünde), Ziethenmühle Abzw.",,Bushalt Neue Dorfstraße vor Zum Gutshof,53.080547,14.038274,,,
de:12073:900340157::2,"Frauenhagen (bei Angermünde), Ziethenmühle Abzw.",,Bushalt Neue Dorfstraße hinter An der Welse,53.080482,14.038066,,,
de:12073:900340158::1,"Frauenhagen (bei Angermünde), Schmiedestr.",,Bushalt Schmiedestraße hinter Schönermarker Straße,53.082348,14.047066,,,
de:12073:900340158::2,"Frauenhagen (bei Angermünde), Schmiedestr.",,Bushalt Schmiedestraße vor Schönermarker Straße,53.08227,14.047071,,,
de:12073:900340160::1,"Angermünde, Abzweig Plattenwerk",,Bushalt Rudolf-Breitscheid-Straße in Richtung Westen,53.01315,13.984579,,,
de:12073:900340160::2,"Angermünde, Abzweig Plattenwerk",,Bushalt Rudolf-Breitscheid-Straße in Richtung Osten,53.013103,13.985238,,,
de:12073:900340161::1,Friedrichsfelde (UM),,Bushalt Friedrichsfelde,53.09384,13.844168,,,
de:12073:900340161::2,Friedrichsfelde (UM),,Bushalt Friedrichsfelde,53.0938,13.844245,,,
de:12073:900340166::1,"Gartz, Stettiner Str.",,Bushalt Stettiner Straße vor Scheunenstraße,53.21057,14.393628,,,
de:12073:900340166::2,"Gartz, Stettiner Str.",,Bushalt Stettiner Straße hinter Scheunenstraße,53.210537,14.393575,,,
de:12073:900340169::1,"Gartz, Ausbau",,Bushalt Ausbau Heinrichshof Richtung Südwesten,53.21442,14.34245,,,
de:12073:900340169::2,"Gartz, Ausbau",,Bushalt Ausbau Heinrichshof Richtung Nordosten,53.214237,14.341507,,,
de:12073:900340170::1,"Gartz, Busbahnhof",,Bushalt Robert-Koch-Straße Position 1,53.207806,14.392773,,,
de:12073:900340170::2,"Gartz, Busbahnhof",,Bushalt Robert-Koch-Straße vor Pommernstraße Position 2,53.207672,14.392814,,,
de:12073:900340170::3,"Gartz, Busbahnhof",,Bushalt Robert-Koch-Straße vor Pommernstraße Position 3,53.207504,14.392862,,,
de:12073:900340170::4,"Gartz, Busbahnhof",,Bushalt Robert-Koch-Straße vor Pommernstraße Position 4,53.20739,14.392899,,,
de:12073:900340172::1,"Gartz, Kastanienallee",,Bushalt B 2 vor Kastanienallee,53.211475,14.374291,,,
de:12073:900340172::2,"Gartz, Kastanienallee",,Bushalt B 2 hinter Mühlenweg,53.21191,14.373256,,,
de:12073:900340173::1,"Gartz, Mühlenteichbrücke",,Bushalt B 2 vor Gartenstraße,53.208176,14.381194,,,
de:12073:900340173::2,"Gartz, Mühlenteichbrücke",,Bushalt B 2 vor Schülerweg,53.208252,14.381128,,,
de:12073:900340175::1,"Gartz, Schule",,Bushalt B 2 vor Am Bahnhof,53.210194,14.377092,,,
de:12073:900340175::2,"Gartz, Schule",,Bushalt B 2 hinter Am Bahnhof,53.210495,14.376549,,,
de:12073:900340176::1,"Gartz, Siedlung",,Bushalt Heinrichshofer Straße vor Bergstraße,53.213127,14.361943,,,
de:12073:900340176::2,"Gartz, Siedlung",,Bushalt Heinrichshofer Straße hinter Bergstraße,53.21308,14.361784,,,
de:12073:900340184::1,"Gellmersdorf, Mitte",,Bushalt Stolper Straße in der Wendeschleife,52.968464,14.07197,,,
de:12073:900340190::1,"Görlsdorf (UM), Bahnübergang",,Bushalt Görlsdorfer Straße hinter Blumberger Mühle,53.03776,13.975898,,,
de:12073:900340190::2,"Görlsdorf (UM), Bahnübergang",,Bushalt Görlsdorfer Straße vor Blumberger Mühle,53.03766,13.976039,,,
de:12073:900340191::1,"Görlsdorf (UM), Chausseehaus",,Bushalt B 198 Parkstraße in Richtung Geiffenberg,53.060467,13.965626,,,
de:12073:900340191::2,"Görlsdorf (UM), Chausseehaus",,Bushalt B 198 an Parkstraße in Richtung Kerkow,53.06013,13.966801,,,
de:12073:900340193::1,"Görlsdorf (UM), Siedlung",,Bushalt Apfelallee vor Parkstraße,53.052315,13.943927,,,
de:12073:900340193::2,"Görlsdorf (UM), Siedlung",,Bushalt Apfelallee hinter Parkstraße,53.052338,13.943703,,,
de:12073:900340194::1,"Görlsdorf (UM), Wasserwerk",,Bushalt K 7347 hinter Wasserplatz,53.04967,13.953968,,,
de:12073:900340194::2,"Görlsdorf (UM), Wasserwerk",,Bushalt K 7347 vor Wasserplatz,53.049606,13.954134,,,
de:12073:900340829::1,"Greiffenberg, Ausbau",,Bushalt L 24 Richtung Nordwesten,53.093933,13.930275,,,
de:12073:900340829::2,"Greiffenberg, Ausbau",,Bushalt L 24 Richtung Südosten,53.093742,13.930462,,,
de:12073:900340830::1,"Greiffenberg, Bahnhofstr.",,Bushalt Bahnhofstraße,53.080048,13.936247,,,
de:12073:900340831::1,"Greiffenberg, Friedhof",,Bushalt L 24 vor Breite Straße,53.087826,13.943798,,,
de:12073:900340831::2,"Greiffenberg, Friedhof",,Bushalt L 24 hinter Siedlung,53.088066,13.942871,,,
de:12073:900340832::1,"Greiffenberg, Markt",,Bushalt L 24 hinter Kirchstraße,53.087093,13.953973,,,
de:12073:900340832::2,"Greiffenberg, Markt",,Bushalt L 24 vor Kirchstraße,53.08713,13.954414,,,
de:12073:900340833::1,"Greiffenberg, Mitte",,Bushalt B 198 vor Kirchstraße,53.088184,13.957283,,,
de:12073:900340833::2,"Greiffenberg, Mitte",,Bushalt B 198 hinter Kirchstraße,53.08767,13.955778,,,
de:12073:900340834::1,"Greiffenberg, Schule",,Bushalt Burgstraße hinter B 198,53.09029,13.961168,,,
de:12073:900340835::1,"Greiffenberg, Siedlung",,Bushalt Bahnhofstraße hinter Wiesenweg,53.08145,13.940515,,,
de:12073:900340835::2,"Greiffenberg, Siedlung",,Bushalt Bahnhofstraße vor Wiesenweg,53.081463,13.940646,,,
de:12073:900340836::1,"Greiffenberg, Zolldamm",,Bushalt Zolldamm vor Wiesenweg,53.081944,13.957039,,,
de:12073:900340836::2,"Greiffenberg, Zolldamm",,Bushalt Zolldamm hinter Wiesenweg,53.081432,13.957087,,,
de:12073:900340837::1,"Greiffenberg, Breite Str.",,Bushalt Breite Straße vor Bahnhofstraße,53.0868,13.947866,,,
de:12073:900340837::2,"Greiffenberg, Breite Str.",,Bushalt Breite Straße hinter Bahnhofstraße,53.08674,13.947973,,,
de:12073:900340841::1,"Groß Pinnow, Abzweig",,Bushalt Schwedter Straße Richtung Nordosten,53.17743,14.343807,,,
de:12073:900340841::2,"Groß Pinnow, Abzweig",,Bushalt Schwedter Straße Richtung Südwesten,53.177994,14.34385,,,
de:12073:900340842::1,"Groß Pinnow, Mitte",,Bushalt Hohenselchower Straße vor Krugstraße,53.1856,14.2769,,,
de:12073:900340842::2,"Groß Pinnow, Mitte",,Bushalt Hohenselchower Straße hinter Krugstraße,53.185818,14.277233,,,
de:12073:900340843::1,"Groß Pinnow, Arche",,Bushalt Friedrichsthaler Straße vor Krugstraße,53.182926,14.279123,,,
de:12073:900340848::1,Grumsin,,Bushalt Althüttendendorfer Straße in der Wendeschleife,52.995865,13.852864,,,
de:12073:900340877::1,"Heinrichshof, Abzweig",,Bushalt L 216 hinter Heinrichshof,53.08655,13.50671,,,
de:12073:900340877::2,"Heinrichshof, Abzweig",,Bushalt L 216 in Richtung Norden,53.086655,13.506919,,,
de:12073:900340878::1,"Heinrichshof, Ausbau",,Bushalt L 27 hinter L 271,53.2092,14.316578,,,
de:12073:900340878::2,"Heinrichshof, Ausbau",,Bushalt L 27 in Richtung Osten,53.20915,14.316584,,,
de:12073:900340879::1,"Heinrichshof, Mitte",,Bushalt Gartzer Straße in Richtung Süden,53.20454,14.306522,,,
de:12073:900340879::2,"Heinrichshof, Mitte",,Bushalt Gartzer Straße in Richtung Norden,53.204693,14.306838,,,
de:12073:900340892::1,"Herzsprung (UM), Bahnübergang",,Bushalt Am Wiesengrund hinter Herzsprunger Weg,52.97588,13.982775,,,
de:12073:900340892::2,"Herzsprung (UM), Bahnübergang",,Bushalt Am Wiesengrund vor Am Bahndamm,52.97592,13.981742,,,
de:12073:900340893::1,"Herzsprung (UM), Bungalowsiedlung",,Bushalt Kleiner Parsteinsee vor Heckenweg,52.97051,13.991409,,,
de:12073:900340893::2,"Herzsprung (UM), Bungalowsiedlung",,Bushalt Kleiner Parsteinsee vor Zum Parsteinsee,52.970985,13.990245,,,
de:12073:900340894::1,"Herzsprung (UM), Mitte",,Bushalt Lindenstraße Wendeschleife,52.976833,13.988936,,,
de:12073:900340898::1,Hohenfelde,,Bushalt Hohenfelder Dorfstraße vor Zum Storchenhof,53.135235,14.277033,,,
de:12073:900340898::2,Hohenfelde,,Bushalt Hohenfelder Dorfstraße hinter Moritzstraße,53.13523,14.276719,,,
de:12073:900340904::1,"Hohenreinkendorf, Abzweig",,Bushalt Ausbau Heinrichshof vor L 271,53.21145,14.326333,,,
de:12073:900340904::2,"Hohenreinkendorf, Abzweig",,Bushalt Ausbau Heinrichshof hinter der Kreuzung,53.211315,14.3262,,,
de:12073:900340905::1,"Hohenreinkendorf, Mitte",,Bushalt Hauptstraße vor Kreuzdamm,53.230335,14.330105,,,
de:12073:900340905::2,"Hohenreinkendorf, Mitte",,Bushalt Hauptstraße hinter Beatenhofer Weg,53.230366,14.329995,,,
de:12073:900340906::1,"Hohenreinkendorf, Nord",,Bushalt Hauptstraße vor Geesower Weg,53.23541,14.332366,,,
de:12073:900340906::2,"Hohenreinkendorf, Nord",,Bushalt Hauptstraße hinter Penkuner Weg,53.23527,14.332092,,,
de:12073:900340907::1,"Hohenreinkendorf, Süd",,Bushalt Hauptstraße hinter Siedlungsweg,53.225323,14.32845,,,
de:12073:900340907::2,"Hohenreinkendorf, Süd",,Bushalt Hauptstraße vor Achterweg West,53.225204,14.328209,,,
